"scenario","resolution","smoothing","focal_scale","metric","comparison_statistic","observed_change","interpretation"
"native versus 2x aggregated then bilinear-resampled","native 3.99674 x 3.99674 m; coarse 7.99349 x 7.99349 m","none","BPI 3x3; VRM 3x3 where applicable","slope_deg","median absolute difference; Spearman correlation","median |delta| = 1.87509; rho = 0.958051; n = 5184","Resolution changes the raster support and therefore derivative values; this comparison is descriptive only."
"native versus 3x3 mean smoothing","3.99674 x 3.99674 m","3x3 mean","BPI 3x3; VRM 3x3 where applicable","slope_deg","median absolute difference; Spearman correlation","median |delta| = 0.973578; rho = 0.984853; n = 5329","Smoothing changes local gradients and focal derivatives; it is a documented preprocessing choice rather than a correction for survey artifacts."
"negative-elevation versus positive-depth representation","3.99674 x 3.99674 m","none","BPI 3x3; VRM 3x3 where applicable","slope_deg","median absolute difference; Spearman correlation","median |delta| = 0; rho = 1.000000; n = 5329","Sign conversion preserves gradient magnitudes but reverses elevation-like local-position and Laplacian-sign interpretations."
"native versus 2x aggregated then bilinear-resampled","native 3.99674 x 3.99674 m; coarse 7.99349 x 7.99349 m","none","BPI 3x3; VRM 3x3 where applicable","bpi_3x3","median absolute difference; Spearman correlation","median |delta| = 0.212879; rho = 0.642805; n = 5625","Resolution changes the raster support and therefore derivative values; this comparison is descriptive only."
"native versus 3x3 mean smoothing","3.99674 x 3.99674 m","3x3 mean","BPI 3x3; VRM 3x3 where applicable","bpi_3x3","median absolute difference; Spearman correlation","median |delta| = 0.104548; rho = 0.769333; n = 5625","Smoothing changes local gradients and focal derivatives; it is a documented preprocessing choice rather than a correction for survey artifacts."
"negative-elevation versus positive-depth representation","3.99674 x 3.99674 m","none","BPI 3x3; VRM 3x3 where applicable","bpi_3x3","median absolute difference; Spearman correlation","median |delta| = 0.320613; rho = -1.000000; n = 5625","Sign conversion preserves gradient magnitudes but reverses elevation-like local-position and Laplacian-sign interpretations."
"native versus 2x aggregated then bilinear-resampled","native 3.99674 x 3.99674 m; coarse 7.99349 x 7.99349 m","none","BPI 3x3; VRM 3x3 where applicable","rugosity_vrm_3x3","median absolute difference; Spearman correlation","median |delta| = 0.00156675; rho = 0.728945; n = 5184","Resolution changes the raster support and therefore derivative values; this comparison is descriptive only."
"native versus 3x3 mean smoothing","3.99674 x 3.99674 m","3x3 mean","BPI 3x3; VRM 3x3 where applicable","rugosity_vrm_3x3","median absolute difference; Spearman correlation","median |delta| = 0.0012053; rho = 0.918268; n = 5329","Smoothing changes local gradients and focal derivatives; it is a documented preprocessing choice rather than a correction for survey artifacts."
"negative-elevation versus positive-depth representation","3.99674 x 3.99674 m","none","BPI 3x3; VRM 3x3 where applicable","rugosity_vrm_3x3","median absolute difference; Spearman correlation","median |delta| = 0; rho = 1.000000; n = 5329","Sign conversion preserves gradient magnitudes but reverses elevation-like local-position and Laplacian-sign interpretations."
"native versus 2x aggregated then bilinear-resampled","native 3.99674 x 3.99674 m; coarse 7.99349 x 7.99349 m","none","BPI 3x3; VRM 3x3 where applicable","curvature","median absolute difference; Spearman correlation","median |delta| = 0.72439; rho = 0.639334; n = 5184","Resolution changes the raster support and therefore derivative values; this comparison is descriptive only."
