"scenario_class","scenario","metric","units","reference_processing","candidate_processing","resolution","smoothing","focal_scale_cells","focal_scale_metres","comparison_grid","interpolation","n_compared","median_absolute_cellwise_difference","median_signed_cellwise_difference","spearman_rho","interpretation"
"grid resolution","aggregate elevation to 8 m; derive at 8 m; resample derivatives for 4 m comparison","slope_deg","degrees","derive on 4 m elevation grid","mean aggregate elevation to 8 m, then derive","native 4 by 4 m versus coarse 8 by 8 m","none","metric-defined cell neighborhood","metric-defined map support changes with grid","native grid after candidate-derivative interpolation","candidate derivative resampled bilinearly to the reference grid after derivation",746504,2.70688132705448,-0.540051153752941,0.843492829143045,"The candidate was differentiated on the coarser grid and then interpolated to pair cells; the reported difference combines aggregation, changed derivative support, and interpolation."
"grid resolution","aggregate elevation to 8 m; derive at 8 m; resample derivatives for 4 m comparison","laplacian_index","m (stored elevation)","derive on 4 m elevation grid","mean aggregate elevation to 8 m, then derive","native 4 by 4 m versus coarse 8 by 8 m","none","metric-defined cell neighborhood","metric-defined map support changes with grid","native grid after candidate-derivative interpolation","candidate derivative resampled bilinearly to the reference grid after derivation",746504,0.988887786865234,0.0206279754638672,0.402401311854543,"The candidate was differentiated on the coarser grid and then interpolated to pair cells; the reported difference combines aggregation, changed derivative support, and interpolation."
"grid resolution","aggregate elevation to 8 m; derive at 8 m; resample derivatives for 4 m comparison","surface_area_ratio","unitless ratio","derive on 4 m elevation grid","mean aggregate elevation to 8 m, then derive","native 4 by 4 m versus coarse 8 by 8 m","none","metric-defined cell neighborhood","metric-defined map support changes with grid","native grid after candidate-derivative interpolation","candidate derivative resampled bilinearly to the reference grid after derivation",746504,0.0111373756489604,-0.000668845023711118,0.841685471261618,"The candidate was differentiated on the coarser grid and then interpolated to pair cells; the reported difference combines aggregation, changed derivative support, and interpolation."
"grid resolution","constant 5-cell focal windows: aggregate elevation to 8 m; derive; resample derivatives","bpi","m (stored elevation)","derive with 5 by 5 cells at 4 m","mean aggregate elevation to 8 m, then derive with 5 by 5 cells","native 4 by 4 m versus coarse 8 by 8 m","none","5 by 5 cells","20 m native; 40 m coarse","native grid after candidate-derivative interpolation","candidate derivative resampled bilinearly to the reference grid after derivation",751751,0.396662566661835,-0.00327058792112211,0.460157838649012,"Cell count was held constant, so physical focal support doubled on the coarser grid; the candidate derivative was interpolated only for comparison."
"grid resolution","constant 5-cell focal windows: aggregate elevation to 8 m; derive; resample derivatives","vrm","unitless","derive with 5 by 5 cells at 4 m","mean aggregate elevation to 8 m, then derive with 5 by 5 cells","native 4 by 4 m versus coarse 8 by 8 m","none","5 by 5 cells","20 m native; 40 m coarse","native grid after candidate-derivative interpolation","candidate derivative resampled bilinearly to the reference grid after derivation",746504,0.00608239410155426,-0.0057948172697635,0.599020500355892,"Cell count was held constant, so physical focal support doubled on the coarser grid; the candidate derivative was interpolated only for comparison."
"grid resolution","approximately constant map-unit focal support: native 7-cell versus coarse 3-cell windows","bpi","m (stored elevation)","derive with 7 by 7 cells at 4 m","mean aggregate elevation to 8 m, then derive with 3 by 3 cells","native 4 by 4 m versus coarse 8 by 8 m","none","7 by 7 versus 3 by 3 cells","28 m native; 24 m coarse","native grid after candidate-derivative interpolation","candidate derivative resampled bilinearly to the reference grid after derivation",751751,0.36190981341872,0.0126848209753803,0.691505829849291,"Focal side lengths were approximately matched in map units, while the coarser derivative was still resampled to the native grid for pairwise statistics."
"grid resolution","approximately constant map-unit focal support: native 7-cell versus coarse 3-cell windows","vrm","unitless","derive with 7 by 7 cells at 4 m","mean aggregate elevation to 8 m, then derive with 3 by 3 cells","native 4 by 4 m versus coarse 8 by 8 m","none","7 by 7 versus 3 by 3 cells","28 m native; 24 m coarse","native grid after candidate-derivative interpolation","candidate derivative resampled bilinearly to the reference grid after derivation",746504,0.00790539724400613,-0.00789717117330246,0.726924749497626,"Focal side lengths were approximately matched in map units, while the coarser derivative was still resampled to the native grid for pairwise statistics."
"preprocessing","no smoothing versus 3 by 3 mean smoothing before derivation","slope_deg","degrees","derive from unsmoothed 4 m elevation","3 by 3 mean smooth at 4 m, then derive","native 4 by 4 m","none versus 3 by 3 mean (12 m side length)","BPI/VRM 3 by 3 cells","12 m for BPI/VRM","native comparison grid","none",748251,1.84660507471195,-0.439151027563558,0.926821743809643,"This preprocessing sensitivity isolates the documented mean filter; it is not presented as an artefact correction."
"preprocessing","no smoothing versus 3 by 3 mean smoothing before derivation","bpi","m (stored elevation)","derive from unsmoothed 4 m elevation","3 by 3 mean smooth at 4 m, then derive","native 4 by 4 m","none versus 3 by 3 mean (12 m side length)","BPI/VRM 3 by 3 cells","12 m for BPI/VRM","native comparison grid","none",751751,0.285295651282581,0.00827591507470515,0.232814300726628,"This preprocessing sensitivity isolates the documented mean filter; it is not presented as an artefact correction."
"preprocessing","no smoothing versus 3 by 3 mean smoothing before derivation","vrm","unitless","derive from unsmoothed 4 m elevation","3 by 3 mean smooth at 4 m, then derive","native 4 by 4 m","none versus 3 by 3 mean (12 m side length)","BPI/VRM 3 by 3 cells","12 m for BPI/VRM","native comparison grid","none",748251,0.00460990616614398,-0.00458154149405099,0.784649072506328,"This preprocessing sensitivity isolates the documented mean filter; it is not presented as an artefact correction."
