record_id,audit_timestamp_utc,scope,path_or_api,status,evaluated_commit,package_version,evidence,manuscript_safe_statement,unresolved_boundary,sha256_at_evaluation
1,2026-07-11T19:13:23Z,baseline_snapshot,repository_HEAD,pre-revision committed baseline,4afb4b58a95a657a7bebd996d159691ec0cc69fc,0.1.0,"git rev-parse HEAD; git show HEAD:DESCRIPTION","Version 0.1.0 at the named commit is the pre-correction baseline.","It is not the corrected 0.2.0 source and is not a public release.",
2,2026-07-11T19:13:23Z,release_metadata,"DESCRIPTION; NEWS.md; inst/CITATION",modified in unreleased working tree,4afb4b58a95a657a7bebd996d159691ec0cc69fc,0.2.0,"git diff; DESCRIPTION Version 0.2.0; NEWS.md 0.2.0 entry; inst/CITATION","The corrected package working tree identifies itself as blueterra 0.2.0.","No tag, public release, archive DOI, or immutable source snapshot for 0.2.0 is recorded here.",
3,2026-07-11T19:13:23Z,bpi_annulus,"R/metrics.R; man/derive_bpi.Rd",corrected,4afb4b58a95a657a7bebd996d159691ec0cc69fc,0.2.0,"bpi_window() now builds map-unit annuli with independent x and y cell resolutions and require_projected(); functional_verification.csv rows annular_bpi_non_square_kernel and annular_bpi_requires_projected_crs","Map-unit annular BPI now uses separate cell dimensions and rejects longitude-latitude rasters rather than treating angular units as map distances.","The correction is an unreleased working-tree change; results must be tied to a future immutable release.",
4,2026-07-11T19:13:23Z,bpi_normalization_and_support,"R/metrics.R; man/derive_bpi.Rd; man/derive_slope.Rd",corrected_and_documented,4afb4b58a95a657a7bebd996d159691ec0cc69fc,0.2.0,"derive_bpi() uses terra::ifel(focal_sd > 0, out / focal_sd, NA); functional_verification.csv rows normalized_bpi_zero_variance bpi_partial_focal_support and vrm_partial_focal_support","Normalized BPI records zero-variance or unavailable focal support as NA; BPI and VRM-style rugosity edge and missing-value support are documented.","No complete-window or minimum-valid-cell option was added.",
5,2026-07-11T19:13:23Z,exact_polygon_summaries,"R/summaries.R; man/summarize_terrain.Rd; man/summarize_isobath_terrain.Rd",corrected,4afb4b58a95a657a7bebd996d159691ec0cc69fc,0.2.0,"summarize_terrain_exact() passes coverage_fraction to apply_weighted_summary_fun(); functional_verification.csv row exact_intersection_weighted_mean","With exact = TRUE, means, population standard deviations, medians, sums, and effective cell counts use positive coverage fractions; minima and maxima use positively intersected cells.","The weighted-median convention is the implemented cumulative-coverage definition and should be retained exactly in released documentation.",
6,2026-07-11T19:13:23Z,zone_and_corridor_geometry,"R/summaries.R; R/isobath-corridors.R; R/utils.R; man/make_isobath_corridors.Rd",corrected_and_extended,4afb4b58a95a657a7bebd996d159691ec0cc69fc,0.2.0,"zone_attributes() assigns stable identifiers to attribute-less geometries; make_isobath_corridors() records buffer_distance nominal_corridor_width and overlap_policy; functional_verification.csv rows polygon_summary_known_values polygon_summary_zone_id ramp_isobath_location corridor_nominal_width corridor_geometry_width and corridor_overlap_policy","Attribute-less zones receive stable identifiers; corridor width is a one-sided buffer distance, full nominal width is twice that distance, and independently returned corridors may overlap.","Overlapping corridor summaries are not mutually exclusive or additive.",
7,2026-07-11T19:13:23Z,transect_orientation_reliability,"R/transects.R; R/utils.R; man/make_transects.Rd",extended,4afb4b58a95a657a7bebd996d159691ec0cc69fc,0.2.0,"estimate_surface_orientation() and transect outputs now include orientation_resultant_length; functional_verification.csv rows planar_transect_orientation planar_orientation_resultant transect_line_count transect_offset_spacing transect_clipping and weak_aspect_resultant","Surface-derived transect orientation now carries a circular-resultant-length concentration indicator; low values flag weakly concentrated aspect directions.","A nonzero low resultant does not make a multimodal direction scientifically reliable; users must interpret the concentration indicator.",
8,2026-07-11T19:13:23Z,metric_catalog,"data-raw/metric-catalog.R; data/metric_catalog.rda",updated,4afb4b58a95a657a7bebd996d159691ec0cc69fc,0.2.0,"git diff data-raw/metric-catalog.R; rebuilt data/metric_catalog.rda","Metric metadata now give operational definitions for roughness TRI VRM-style rugosity surface-area ratio and the four-neighbor Laplacian-style index.","The public layer name remains curvature for compatibility; it is not plan profile mean or Gaussian curvature.",208613cd562206f8a5ce9aefd07781e672de93c0ffc6ef4043c0b0ce661a67b5
9,2026-07-11T19:13:23Z,documentation,"man/derive_bpi.Rd; man/derive_slope.Rd; man/make_isobath_corridors.Rd; man/make_transects.Rd; man/summarize_isobath_terrain.Rd; man/summarize_terrain.Rd",updated,4afb4b58a95a657a7bebd996d159691ec0cc69fc,0.2.0,"generated Rd diffs mirror source changes","Package documentation now distinguishes partial focal support, coverage-fraction weighting, corridor overlap, transect concentration, the unscaled Laplacian-style index, and the slope-secant surface-area approximation.","Regenerate and check all package documentation again after any subsequent code change before releasing 0.2.0.",
10,2026-07-11T19:13:23Z,functional_verification,"tests/testthat/test-functional-verification.R; article/validation/run_functional_verification.R; article/validation/results/functional_verification.csv",added_and_executed,4afb4b58a95a657a7bebd996d159691ec0cc69fc,0.2.0,"21 scripted synthetic functional checks passed at 2026-07-11T18:34:46Z; result CSV and session-info.txt record blueterra 0.2.0 terra 1.9.27","The corrected package passed 21 documented functional checks covering BPI geometry and support transects isobath corridors spatial summaries custom layers and unmatched catalog entries.","The new testthat file is present in the working tree; a complete release validation remains required after the source is committed and tagged.",9c95ed96e7a2296b4dbb37632d04525645d872c15bec964c7c73ebc52a9d9d8d
11,2026-07-11T19:13:23Z,article_route_b_data_provenance,"article/data_provenance/acquire_bluetopo_example.R; article/data_provenance/results/bluetopo_example_manifest.csv",article_data_replacement_completed,4afb4b58a95a657a7bebd996d159691ec0cc69fc,0.2.0,"acquisition script verifies downloaded NOAA tile RAT and tile-scheme SHA-256 values; manifest records access time CRS vertical metadata crop preprocessing and author-created analysis windows","The article real-data workflow uses documented NOAA BlueTopo tile BH54S4ZB_20251117, not the legacy package fixtures. Its retained 4 m crop has SHA-256 2c7fe8b1e811d0dd4ea2672b11443f5a1d1b6e40911cea8ca7b39b2d3cd89e4e.","This is an article-data and reproduction-material change, not a replacement of inst/extdata. The final archive must retain the raw tile RAT tile scheme and manifest.",2c7fe8b1e811d0dd4ea2672b11443f5a1d1b6e40911cea8ca7b39b2d3cd89e4e
12,2026-07-11T19:13:23Z,legacy_bundled_examples,"inst/extdata/laparguera_hitw_bathy.tif; inst/extdata/laparguera_hoyo_bathy.tif; inst/extdata/laparguera_slope_bathy.tif; inst/extdata/laparguera_sampling_rectangles.gpkg",unchanged_legacy_package_data,4afb4b58a95a657a7bebd996d159691ec0cc69fc,0.2.0,"article/provenance_release_investigation.md; article/provenance_release_source_audit.csv","Legacy southwest Puerto Rico fixtures are excluded from the article real-data figures and results.","Their original source-tile provenance vector provenance and redistribution status remain unresolved and must not be represented as settled by the Route-B article data record.",
13,2026-07-11T19:47:16Z,versioned_release,"GitHub release v0.2.0; annotated tag v0.2.0",public_tag_and_release,1a22b274e6d1aea0d434897b2d8d1c9c2d06ad49,0.2.0,"git show v0.2.0; git ls-remote --tags origin; https://github.com/el-cordero/blueterra/releases/tag/v0.2.0","The evaluated package source is publicly released as blueterra 0.2.0, tag v0.2.0.","A persistent archival DOI has not been assigned; the full source SHA remains in supplementary manifests.",
